Region,TimeDiff,R1-OCC,R1Light,R1-Temp,"R1_Corr(O,Temp)",R2-OCC,R2Light,R2-Temp,"R2_Corr(O,Temp)",R3-OCC,R3Light,R3-Temp,"R3_Corr(O,Temp)",R4-OCC,R4Light,R4-Temp,"R4_Corr(O,Temp)",R5-OCC,R5Light,R5-Temp,"R5_Corr(O,T)"
5,28,3,0,18.5,0.5,-7,0,19.56,0,4,0,18.56,0.5,8,0,19.75,0.5,8,0,20.19,0.5
5,7,3,0,18.5,0.5,-7,0,19.56,0,4,0,18.56,0.5,8,0,19.81,0.5,8,0,20.19,0.5
4,64,4,0,18.62,0.5,-7,0,19.5,0,4,0,18.62,0.5,7,0,20,0.5,7,0,20.31,0.5
5,33,4,0,18.62,0.5,-7,0,19.5,0,4,0,18.62,0.5,6,0,20,0.5,6,0,20.31,0.5
5,81,4,0,18.87,0.5,-7,0,19.69,0,4,0,18.62,0.5,7,0,20.12,0.5,7,0,20.31,0.5
4,89,5,0,18.87,0.5,-7,0,19.69,0,4,0,18.62,0.5,6,0,20.12,0.5,6,0,20.31,0.5
5,6,5,0,18.87,0.5,-7,0,19.69,0,4,0,18.62,0.5,6,0,20.12,0.5,6,0,20.31,0.5
4,5,5,0,18.87,0.5,-7,1,19.69,0,4,0,18.62,0.5,6,0,20.12,0.5,6,0,20.31,0.5
4,39,6,0,18.87,0.5,-7,0,19.75,0,4,0,18.69,0.5,5,0,20.19,0.5,5,0,20.37,0.5
5,48,6,0,18.87,0.5,-7,0,19.75,0,4,1,18.75,0.5,4,0,20.19,0.5,4,0,20.37,0.5
4,8,6,0,18.87,0.5,-7,0,19.75,0,4,0,18.75,0.5,4,0,20.19,0.5,4,0,20.37,0.5
5,5,6,0,18.87,0.5,-7,0,19.75,0,4,0,18.75,0.5,4,0,20.19,0.5,4,0,20.37,0.5
3,320,6,0,18.87,0.5,-6,0,19.69,0,3,0,18.69,0.5,4,0,20.12,0.5,4,1,20.37,0.5
5,361,6,0,19.19,0.5,-6,0,19.87,0,3,0,18.62,0.5,5,0,20.37,0.5,5,0,20.69,0.5
5,7,6,0,19.19,0.5,-6,0,19.87,0,3,0,18.62,0.5,5,0,20.37,0.5,5,1,20.69,0.5
5,130,6,0,19.25,0.5,-6,0,19.87,0,3,0,18.75,0.5,6,1,20.5,0.5,6,0,20.62,0.5
4,504,7,0,19.25,0.5,-6,0,19.87,0,3,0,18.75,0.5,5,1,20.5,0.5,5,1,20.62,0.5
5,6,7,0,19.25,0.5,-6,0,19.87,0,3,0,18.75,0.5,5,0,20.5,0.5,5,0,20.62,0.5
